"NRIC","page_id","time_spent"
"S5177490P","4","15"
"S5177490P","2","6"
"S5177490P","7","17"
"S5177490P","1","18"
"S5177490P","6","20"
"S5177490P","3","20"
"S5177490P","5","14"
"S8073760D","4","1"
"S8073760D","7","1"
"S8073760D","5","10"
"S8073760D","8","16"
"S8073760D","3","19"
"S6414215E","0","1"
"S6414215E","7","5"
"S6414215E","6","9"
"S6414215E","5","10"
"S6414215E","3","12"
"S6414215E","4","16"
"S7115029W","2","1"
"S7115029W","6","11"
"S7115029W","1","18"
"S7373944I","1","1"
"S7373944I","5","10"
"S7373944I","7","19"
"S7373944I","2","20"
"S8591041F","1","1"
"S8591041F","0","3"
"S8591041F","3","6"
"S8591041F","6","7"
"S8591041F","5","19"
"S4846830K","4","1"
"S4846830K","3","9"
"S4846830K","1","11"
"S4846830K","6","19"
"S7470613P","6","1"
"S7470613P","1","3"
"S7470613P","3","11"
"S7470613P","5","16"
"S7470613P","0","19"
"S5702736E","8","1"
"S5702736E","6","7"
"S5702736E","5","9"
"S5702736E","3","11"
"S5702736E","7","13"
"S5702736E","0","19"
"S5134099V","1","1"
"S5134099V","2","10"
"S5134099V","0","12"
"S5134099V","6","18"
"S5134099V","8","20"
"S9410616T","0","1"
"S9410616T","4","4"
"S9410616T","7","5"
"S9410616T","3","10"
"S9410616T","6","14"
"S6693864Q","4","1"
"S6693864Q","5","14"
"S6693864Q","7","14"
"S6693864Q","1","15"
"S6693864Q","6","16"
"S8894028M","4","1"
"S8894028M","0","5"
"S8894028M","3","8"
"S8894028M","1","20"
"S4444163M","7","1"
"S4444163M","1","8"
"S4444163M","2","10"
"S4444163M","5","16"
"S4701576H","7","1"
"S4701576H","5","7"
"S4701576H","2","7"
"S4701576H","6","13"
"S4701576H","3","14"
"S4701576H","8","18"
"S9807924F","0","1"
"S9807924F","3","2"
"S9807924F","1","8"
"S9807924F","8","11"
"S7857107N","0","1"
"S7857107N","7","5"
"S7857107N","5","7"
"S7857107N","6","16"
"S7857107N","8","18"
"S6671308F","2","1"
"S6671308F","3","5"
"S6671308F","7","12"
"S6671308F","0","12"
"S6671308F","4","19"
"S6671308F","5","20"
"S7814424F","4","1"
"S7814424F","3","4"
"S7814424F","1","7"
"S7814424F","5","9"
"S7814424F","2","15"
"S6487250V","5","1"
"S6487250V","4","5"
"S6487250V","2","18"
"S6487250V","6","18"
"S4902189J","3","1"
"S4902189J","0","2"
"S4902189J","7","12"
"S4902189J","4","13"
"S4902189J","6","16"
"S4902189J","1","20"
"S8022049Q","1","1"
"S8022049Q","2","5"
"S8022049Q","6","7"
"S8022049Q","7","10"
"S8022049Q","0","14"
"S8022049Q","5","16"
"S8022049Q","8","18"
"S7462263V","1","1"
"S7462263V","0","3"
"S7462263V","2","15"
"S7462263V","6","15"
"S7462263V","3","15"
"S7962136P","2","1"
"S7962136P","1","7"
"S7962136P","8","7"
"S7962136P","3","10"
"S7962136P","6","17"
"S6759422T","7","1"
"S6759422T","4","16"
"S6759422T","2","17"
"S6759422T","1","20"
"S6759422T","6","20"
"S7760056I","7","1"
"S7760056I","3","2"
"S7760056I","8","11"
"S7760056I","4","15"
"S7760056I","0","16"
"S7760056I","5","18"
"S8228816X","2","1"
"S8228816X","4","4"
"S8228816X","5","7"
"S8228816X","3","16"
"S8228816X","6","19"
"S9594271C","3","1"
"S9594271C","1","5"
"S9594271C","5","11"
"S9594271C","0","12"
"S9594271C","6","20"
"S9897377J","0","1"
"S9897377J","3","5"
"S9897377J","5","6"
"S9897377J","6","12"
"S9897377J","2","17"
"S9897377J","7","17"
"S9897377J","1","18"
"S9415850U","4","1"
"S9415850U","8","4"
"S9415850U","7","7"
"S9415850U","2","7"
"S9415850U","0","19"
"S9415850U","1","20"
"S7137950P","5","1"
"S7137950P","3","1"
"S7137950P","4","7"
"S7137950P","6","12"
"S7137950P","7","13"
"S7137950P","2","18"
"S5371785K","5","1"
"S5371785K","0","9"
"S5371785K","6","10"
"S5371785K","3","16"
"S5957628V","1","1"
"S5957628V","4","17"
"S5957628V","0","18"
"S5957628V","5","20"
"S5852158J","7","1"
"S5852158J","8","4"
"S5852158J","4","5"
"S5852158J","5","5"
"S5852158J","0","11"
"S5852158J","1","16"
"S6557202D","4","1"
"S6557202D","7","15"
"S6557202D","0","16"
"S6557202D","6","17"
"S6557202D","1","18"
"S4208075B","6","1"
"S4208075B","2","5"
"S4208075B","8","12"
"S4208075B","7","18"
"S5138621I","8","1"
"S5138621I","6","18"
"S8551470K","2","1"
"S8551470K","8","14"
"S8551470K","5","18"
"S8551470K","6","20"
"S7648413G","0","1"
"S7648413G","3","3"
"S7648413G","4","8"
"S7648413G","2","9"
"S7648413G","1","11"
"S7648413G","7","13"
"S7035600R","1","1"
"S7035600R","2","2"
"S7035600R","3","4"
"S7035600R","0","8"
"S6167834Y","4","1"
"S6167834Y","6","5"
"S6167834Y","0","7"
"S6167834Y","5","18"
"S5600909V","1","1"
"S5600909V","4","4"
"S5600909V","5","10"
"S5600909V","0","13"
"S5600909V","6","19"
"S9626475K","2","1"
"S9626475K","6","2"
"S9626475K","3","8"
"S9626475K","1","10"
"S9626475K","8","16"
"S6797132I","2","1"
"S6797132I","5","2"
"S6797132I","3","5"
"S6797132I","8","17"
"S6797132I","4","18"
